epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,65536,1,par,0,20.511,0.951246,16.4624,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,65536,1,par,mean,20.511,0.951246,16.4624,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,131072,1,par,0,37.6756,0.973458,34.5555,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,131072,1,par,mean,37.6756,0.973458,34.5555,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,131072,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,par,0,68.4456,0.98539,76.2409,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,par,mean,68.4456,0.98539,76.2409,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,1,par,0,126.369,0.992087,181.972,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,1,par,mean,126.369,0.992087,181.972,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,32768,1,par,0,17.1387,0.941653,4.99802,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,32768,1,par,mean,17.1387,0.941653,4.99802,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,65536,1,par,0,31.3653,0.968118,10.5178,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,65536,1,par,mean,31.3653,0.968118,10.5178,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,131072,1,par,0,58.1513,0.982803,21.8243,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,131072,1,par,mean,58.1513,0.982803,21.8243,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,131072,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,1,par,0,106.93,0.990648,51.5828,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,1,par,mean,106.93,0.990648,51.5828,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,1,par,0,198.564,0.994964,108.742,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,1,par,mean,198.564,0.994964,108.742,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,32768,1,par,0,30.7007,0.967427,3.09369,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,32768,1,par,mean,30.7007,0.967427,3.09369,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,32768,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,65536,1,par,0,56.7956,0.982393,6.33936,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,65536,1,par,mean,56.7956,0.982393,6.33936,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,65536,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,131072,1,par,0,107.193,0.990671,12.893,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,131072,1,par,mean,107.193,0.990671,12.893,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,131072,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,1,par,0,198.42,0.99496,27.7101,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,1,par,mean,198.42,0.99496,27.7101,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,1,par,0,372,0.997312,62.2449,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,1,par,mean,372,0.997312,62.2449,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
