epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,524288,2,omp_task,0,157.908,0.993667,35.0236,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,2,omp_task,mean,157.908,0.993667,35.0236,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,2,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,4,omp_task,0,157.908,0.993667,30.0278,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,4,omp_task,mean,157.908,0.993667,30.0278,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,4,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,8,omp_task,0,157.908,0.993667,29.6657,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,8,omp_task,mean,157.908,0.993667,29.6657,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,8,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,16,omp_task,0,157.908,0.993667,28.1444,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,16,omp_task,mean,157.908,0.993667,28.1444,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,524288,16,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,par,0,141.526,0.992934,19.3118,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,par,mean,141.526,0.992934,19.3118,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,2,par,0,141.526,0.992934,11.2094,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,2,par,mean,141.526,0.992934,11.2094,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,4,par,0,141.526,0.992934,8.01386,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,4,par,mean,141.526,0.992934,8.01386,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,8,par,0,141.526,0.992934,7.69198,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,8,par,mean,141.526,0.992934,7.69198,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,16,par,0,141.526,0.992934,6.7996,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,16,par,mean,141.526,0.992934,6.7996,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
