epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,factorization_time,solve_time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-07,16384,1,par,0,14.1227,0.929192,14.5247,1.98209,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,1,par,mean,14.1227,0.929192,14.5247,1.98209,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,2,par,0,14.1227,0.929192,8.93078,2.00368,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,2,par,mean,14.1227,0.929192,8.93078,2.00368,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,2,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,4,par,0,14.1227,0.929192,6.50651,1.9972,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,4,par,mean,14.1227,0.929192,6.50651,1.9972,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,4,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,8,par,0,14.1227,0.929192,5.86095,1.98611,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,8,par,mean,14.1227,0.929192,5.86095,1.98611,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,8,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,16,par,0,14.1227,0.929192,5.85652,1.99716,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,16,par,mean,14.1227,0.929192,5.85652,1.99716,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,16384,16,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,1,par,0,15.3975,0.935054,2.96605,0.566769,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,1,par,mean,15.3975,0.935054,2.96605,0.566769,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,2,par,0,15.3975,0.935054,1.82992,0.562264,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,2,par,mean,15.3975,0.935054,1.82992,0.562264,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,2,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,4,par,0,15.3975,0.935054,1.37614,0.568879,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,4,par,mean,15.3975,0.935054,1.37614,0.568879,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,4,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,8,par,0,15.3975,0.935054,1.26355,0.567258,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,8,par,mean,15.3975,0.935054,1.26355,0.567258,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,8,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,16,par,0,15.3975,0.935054,1.27229,0.573403,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,16,par,mean,15.3975,0.935054,1.27229,0.573403,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,8192,16,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
