epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-07,262144,16,par,0,105.493,0.990521,0.593339,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,16,par,mean,105.493,0.990521,0.593339,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,0,191.329,0.994773,12.3662,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,mean,191.329,0.994773,12.3662,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,2,par,0,191.329,0.994773,5.48487,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,2,par,mean,191.329,0.994773,5.48487,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,4,par,0,191.329,0.994773,3.00895,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,4,par,mean,191.329,0.994773,3.00895,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,8,par,0,191.329,0.994773,1.90293,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,8,par,mean,191.329,0.994773,1.90293,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,16,par,0,191.329,0.994773,1.61226,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
